AUTHOR,TITLE,WORDS#,the,and,of,that,to,unto,in,it,for,be,which,a,not,came,pass,behold,all,this,now,with,yea,should,by,as,upon,but,also,from,there,because,these,therefore,when,if,even,into,would,forth
DOSTOEVSKY,Dostoevsky_Novel_in_9_letters_Pyotr,1619,34,31,45,12,37,17,29,11,13,10,4,11,6,1,8,9,12,8,4,13,3,0,1,3,1,9,6,6,4,2,4,4,6,3,0,1,11,3,4,0,0,0,29,0,0,0,0,1,6,3,4
DOSTOEVSKY,Karamazov_bookV_chap1,4246,24,33,27,15,32,16,4,25,18,9,3,9,6,7,10,12,3,7,8,12,21,7,11,8,0,6,3,11,8,10,7,2,2,2,0,1,9,2,6,0,4,0,4,0,0,0,1,0,2,3,6
DOSTOEVSKY,Karamazov_chap1_3,5098,50,34,27,36,0,21,0,8,16,2,6,5,7,22,11,6,0,4,7,0,24,2,5,10,1,4,1,18,6,8,10,3,5,2,3,2,5,2,4,0,0,0,0,0,0,1,1,4,4,3,1
DOSTOEVSKY,Karamazov_chap3_goldmines,4567,41,26,32,22,26,13,3,13,19,6,3,9,9,12,9,10,3,4,7,10,21,4,7,6,1,5,6,14,8,8,10,0,5,1,0,1,9,1,6,0,1,0,3,0,0,0,0,2,1,2,1
DOSTOEVSKY,Karamazov_Inquisitor,8287,57,43,25,31,3,18,1,13,19,12,2,9,7,7,15,11,1,8,5,1,11,4,5,7,1,9,13,3,5,1,2,3,5,12,7,7,9,0,7,0,3,0,1,0,0,0,1,3,3,1,5
DOSTOEVSKY,Notes_Underground_chap1_5,4531,39,27,28,32,15,24,9,26,28,19,4,16,6,4,12,11,3,5,9,5,5,2,5,1,2,9,7,9,6,0,2,2,5,4,1,2,16,1,10,0,0,0,9,0,0,0,2,3,3,3,5
DOSTOEVSKY,Notes_Underground_p2_chap1,4442,38,39,29,26,3,17,16,15,17,7,4,12,9,4,10,10,0,5,7,14,8,3,5,6,3,8,1,19,5,0,10,2,4,6,4,5,12,4,6,0,0,0,16,0,0,0,0,3,2,6,3
SHAKESPEARE,shakespeare_alls_well_p1,1773,31,29,17,21,16,21,11,15,14,15,1,6,7,13,7,6,8,12,2,3,10,6,7,9,0,5,5,6,2,9,2,2,2,1,1,0,6,0,3,0,3,0,11,0,0,0,0,5,2,3,2
SHAKESPEARE,shakespeare_antony_cleopatra_p1,2916,36,25,20,17,18,14,9,7,9,11,5,11,9,6,3,10,6,8,4,8,4,3,4,8,2,5,2,2,2,6,2,1,5,2,1,2,11,2,3,0,4,0,9,0,0,0,1,4,2,3,5
SHAKESPEARE,shakespeare_as_you_like_it,3070,32,26,17,25,25,14,6,10,12,16,4,11,10,6,9,10,7,9,11,11,13,5,6,6,2,7,7,3,2,2,1,2,0,2,1,2,11,1,3,0,2,0,6,0,0,0,0,3,3,5,5
SHAKESPEARE,shakespeare_hamlet,4649,30,32,24,21,24,15,22,12,13,11,8,9,7,9,7,8,7,6,8,8,10,8,8,6,5,6,4,3,3,2,1,2,2,4,2,1,9,2,2,0,3,0,22,0,0,0,0,2,4,1,7
NEPHI,1_Nephi_4,1207,73,67,23,33,0,8,10,13,35,3,4,7,8,10,6,0,0,4,7,12,25,0,0,11,0,2,0,11,1,0,13,4,4,10,0,2,7,9,0,20,2,2,10,4,4,11,0,3,4,6,0
NEPHI,1_Nephi_8,1158,59,84,29,56,0,12,10,25,33,0,0,5,3,3,5,3,0,4,7,6,12,0,0,1,1,5,0,11,1,0,10,11,2,24,6,12,5,12,6,13,0,0,10,3,5,19,1,9,4,3,0
NEPHI,1_Nephi_11,1247,101,87,19,52,0,10,8,14,24,4,0,2,3,1,7,0,0,1,3,18,16,2,0,12,0,0,0,15,0,0,9,7,2,4,0,3,2,1,8,25,4,2,8,7,8,10,3,12,2,0,0
NEPHI,1_Nephi_16,1597,68,72,40,36,0,10,15,23,35,0,0,1,7,4,9,0,0,3,2,1,10,0,0,4,0,2,0,6,0,0,9,7,0,10,7,5,1,29,3,13,0,1,15,2,3,20,0,10,3,1,1
NEPHI,2_Nephi_4,738,52,42,10,47,0,29,66,0,17,5,0,10,1,12,12,2,0,2,0,21,10,0,4,2,1,10,10,2,1,0,1,0,0,0,0,8,10,0,0,13,1,0,66,12,4,1,0,5,4,0,4
NEPHI,2_Nephi_5,1142,56,74,32,42,0,9,22,16,23,1,0,7,9,3,12,3,0,14,2,14,2,0,0,4,0,3,4,7,0,0,12,9,3,22,11,8,7,24,6,14,6,0,22,1,5,7,14,12,1,4,3
NEPHI,2_Nephi_25,1661,73,45,21,41,3,15,12,6,25,8,3,7,4,7,19,3,1,16,7,2,6,1,0,6,0,10,4,2,1,0,0,3,6,19,7,13,7,0,5,19,22,4,12,3,7,1,7,15,6,0,8
NEPHI,2_Nephi_26,1464,74,61,8,43,6,9,8,7,29,3,1,14,6,6,20,6,0,16,5,2,17,0,0,4,0,17,1,0,0,0,0,1,2,29,8,17,14,0,9,21,38,1,8,3,9,0,4,5,2,0,8
NEPHI,2_Nephi_28,1215,66,68,9,40,0,14,3,5,23,16,2,4,7,6,17,1,0,23,0,2,11,0,0,4,2,9,9,0,0,0,0,0,5,25,13,12,4,0,9,24,29,1,3,7,8,0,0,9,2,0,10
